name,version,rarity,card_number,set,image_url,available_items,price_from,price_trend,avg_30_days,avg_7_days,avg_1_day
"Aatchik, Emerald Radian",,Rare,187,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809075/809075.jpg,4230,"0,05 €","0,15 €","0,20 €","0,19 €","0,13 €"
Adrenaline Jockey,,Uncommon,112,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809066/809066.jpg,7546,"0,02 €","0,10 €","0,09 €","0,09 €","0,10 €"
Aether Syphon,,Uncommon,38,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809167/809167.jpg,7280,"0,02 €","0,13 €","0,14 €","0,10 €","0,07 €"
Aetherjacket,,Common,230,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807212/807212.jpg,13356,"0,02 €","0,11 €","0,11 €","0,09 €","0,02 €"
Afterburner Expert,,Rare,150,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808811/808811.jpg,4272,£0.02,"0,15 €","0,12 €","0,13 €","0,10 €"
Agonasaur Rex,,Rare,151,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808418/808418.jpg,2252,"0,29 €","0,68 €","0,69 €","0,64 €","0,43 €"
Air Response Unit,,Uncommon,1,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806126/806126.jpg,7809,"0,02 €","0,03 €","0,05 €","0,06 €","0,02 €"
Alacrian Armory,,Uncommon,2,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807170/807170.jpg,7286,"0,02 €","0,11 €","0,11 €","0,10 €","0,10 €"
Alacrian Jaguar,,Common,152,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807189/807189.jpg,13554,"0,02 €","0,08 €","0,06 €","0,07 €","0,10 €"
Amonkhet Raceway,,Uncommon,248,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808000/808000.jpg,4341,£0.02,"0,27 €","0,21 €","0,21 €","0,19 €"
Ancient Vendetta,,Uncommon,75,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809214/809214.jpg,7729,"0,02 €","0,13 €","0,13 €","0,17 €","0,21 €"
Apocalypse Runner,,Uncommon,188,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807193/807193.jpg,7753,"0,02 €","0,04 €","0,05 €","0,05 €","0,10 €"
Autarch Mammoth,,Uncommon,153,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809180/809180.jpg,7481,"0,02 €","0,06 €","0,06 €","0,06 €","0,03 €"
Avishkar Raceway,,Common,249,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807215/807215.jpg,12946,"0,02 €","0,11 €","0,08 €","0,07 €","0,04 €"
Back on Track,,Uncommon,76,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809171/809171.jpg,7567,"0,02 €","0,07 €","0,06 €","0,06 €","0,10 €"
"Basri, Tomorrow's Champion",,Rare,3,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809110/809110.jpg,4356,£0.02,"0,18 €","0,20 €","0,19 €","0,10 €"
