card_name,version,set,seller_name,quantity,price,condition,language
"Aatchik, Emerald Radian",,Aetherdrift,cardstown,1,"0,05 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,ToyTonys,1,"0,08 €",Near Mint,Italian
"Aatchik, Emerald Radian",,Aetherdrift,Onlycards,8,"0,10 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Grouphug,9,"0,10 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Neutrinic7k4,2,"0,10 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Zhalfyr,1,"0,10 €",Near Mint,Spanish
"Aatchik, Emerald Radian",,Aetherdrift,HammerOfWar,1,"0,10 €",Near Mint,Italian
"Aatchik, Emerald Radian",,Aetherdrift,EagleFlyTCG,1,"0,10 €",Near Mint,French
"Aatchik, Emerald Radian",,Aetherdrift,AFGAMES,1,"0,10 €",Excellent,Italian
"Aatchik, Emerald Radian",,Aetherdrift,TheTCGee,1,"0,12 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Manamaze,5,"0,13 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Secondlife,2,"0,13 €",Near Mint,Italian
"Aatchik, Emerald Radian",,Aetherdrift,Nexus-TCG,1,"0,14 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,TCGBandits,1,"0,14 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,GAMEON,2,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Cardpoint,1,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,jmskns69,11,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,MercadiaGames,7,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Cryptkeeper,5,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Cardfreaks,4,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,PeloutseMtG,3,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,LeVizz,1,"0,15 €",Near Mint,French
"Aatchik, Emerald Radian",,Aetherdrift,YourTradingCardShop,8,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,MandragoraTCG,3,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Manascrew,2,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,SoHotTCG,4,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,AVATAR-PL,1,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,All-In-TCGames,1,"0,15 €",Near Mint,Spanish
"Aatchik, Emerald Radian",,Aetherdrift,crovax878,2,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Dine11,1,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,GamesTimeAlzate,4,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Lacuevatcg,1,"0,15 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Cardmasterunite,1,"0,16 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,vsTrax,1,"0,15 €",Excellent,English
"Aatchik, Emerald Radian",,Aetherdrift,JoeBuddha,1,"0,17 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,CardboardCastle,2,"0,17 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Gary2574,1,"0,18 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,CardCrusherUK,1,"0,18 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,InvestMagicLand,5,"0,18 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,Secondlife,6,"0,18 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,HDC-Trade,2,"0,18 €",Near Mint,French
"Aatchik, Emerald Radian",,Aetherdrift,TradingCardPlanet,1,"0,18 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,ThePokeCardExpert,2,"0,18 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,FergusonCardTraders,1,"0,18 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,GladiusGames,1,"0,18 €",Near Mint,Spanish
