name,real_name,country,seller_type,sales_count,available_items,rating,approval_very_good,approval_good,approval_neutral,approval_bad,shipping_days,street_address,postal_code,city
0807Pokerhontas,Jeannette Radloff,Germany,Professional,2373,29237,Outstanding,100 %,0 %,0 %,0 %,13,Otto-Brahm-Str. 9,13088,Berlin
1990-SHOP,1990 SHOP,Germany,Professional,1566,4318,Outstanding,100 %,0 %,0 %,0 %,16,Auf Der Leite 16,82380,Peißenberg
1UPrm,pack man srls,Italy,Professional,648,15373,Very good,98 %,0 %,2 %,0 %,11,Viale Partenope 88,00177,Roma
2D6STORE,2d6 Store S.L.U,Spain,Professional,586,2265,Outstanding,99.7 %,0.3 %,0 %,0 %,11,CM. San Rafael 115,29006,Málaga
2depiques,2 de Piques,Spain,Professional,2475,19644,Outstanding,100 %,0 %,0 %,0 %,9,Sant Miquel 7,08241,Manresa
2KCompanyTCG,Julyan Decaluwe,Belgium,Professional,3737,7701,Outstanding,100 %,0 %,0 %,0 %,16,527 Vieux chemin de Binche,7000,Mons
2TGAMECAFE,2TGAMECAFE,Spain,Powerseller,60,28993,Outstanding,100 %,0 %,0 %,0 %,9,Medico Temistocles Almagro 32 Bajo 1,03300,Orihuela
3SixMagic,3SixMagic Ltd,United Kingdom,Professional,1621,46,Very good,97 %,0 %,2 %,1 %,26,9 George Street,S80 1QJ,Worksop
4TUGA,4TUGA,Germany,Powerseller,2156,30246,Outstanding,100 %,0 %,0 %,0 %,11,Caspar-David-Friedrich-Str. 37d,01217,Dresden
7cards,Andre Xander,Germany,Professional,1065,65945,Outstanding,100 %,0 %,0 %,0 %,15,Haydn Str 8,76761,Rülzheim
AbbysSTORE,Occhi e mani j.d.o.o.,Croatia,Professional,1816,56957,Outstanding,100 %,0 %,0 %,0 %,17,Prešernova 3,10000,Zagreb
ABC-Gaming-79,ABC Informatique,France,Professional,1353,613,Outstanding,100 %,0 %,0 %,0 %,11,76 BIS Rue Du Poitou,79130,Secondigny
AbsolutMintCard,Absolut Mint Card,France,Powerseller,4918,62937,Outstanding,100 %,0 %,0 %,0 %,14,6 Rue Georges Brassens,31140,Fonbeauzard
Accentgaming,Accent Gaming (Dunfermline) LTD,United Kingdom,Professional,188,332,Outstanding,98 %,2 %,0 %,0 %,18,15 New Row,KY12 7EA,Dunfermline
AceOfHeartsKG,Ace of Hearts HOFER KG,Austria,Powerseller,129,210,Outstanding,100 %,0 %,0 %,0 %,14,Georgenberg 346,5431,Kuchl
Acidbeast,Uwe Ellsaesser,Germany,Professional,9578,2610,Outstanding,100 %,0 %,0 %,0 %,13,Comeniusstr. 3,74321,Bietigheim-Bissingen
AcmeGamesNW,Acme Games,United Kingdom,Professional,3532,720,Outstanding,99 %,1 %,0 %,0 %,10,7 Lloyd St,LL30 2UU,Llandudno
