user_id,username,deck_name,deck_alternative_name,rating
1,user_0001,4c Kona,4c Kona,1.28
1,user_0001,Bant Omniscience,Bant Omniscience,0.71
1,user_0001,Dimir Control,Dimir Control,0.98
1,user_0001,Temur Floodcaller Combo,Temur Floodcaller Combo,0.88
1,user_0001,Orzhov Self-Bounce,Orzhov Self-Bounce,0.69
1,user_0001,Esper Self-Bounce,Esper Self-Bounce,1.24
1,user_0001,Boros Burn,Boros Burn,1.35
1,user_0001,Temur Kona,Temur Kona,1.15
1,user_0001,Temur Battlecrier Combo,Temur Battlecrier Combo,0.44
1,user_0001,Izzet Prowess,Izzet Prowess,1.94
1,user_0001,Temur Lessons,Temur Lessons,1.46
1,user_0001,Mono-Red Aggro,Mono-Red Aggro,3.42
1,user_0001,Grixis Leyline,Grixis Leyline,0.42
1,user_0001,Izzet Omniscience,Izzet Omniscience,0.92
1,user_0001,Naya Yuna,Naya Yuna,0.98
1,user_0001,Gruul Leyline Aggro,Gruul Leyline Aggro,1.36
1,user_0001,Mono-White Tokens,Mono-White Tokens,1.63
1,user_0001,Izzet Looting,Izzet Looting,2.59
1,user_0001,Simic Aggro,Simic Aggro,1.56
1,user_0001,Boros Token Control,Boros Token Control,1.31
1,user_0001,Orzhov Control,Orzhov Control,1.38
1,user_0001,Golgari Dragons,Golgari Dragons,1.51
1,user_0001,Sultai Graveyard,Sultai Graveyard,1.73
1,user_0001,4c Insidious Roots (2),4c Insidious Roots,1.22
1,user_0001,Sultai Control,Sultai Control,1.41
1,user_0001,Mono-Red Leyline Aggro,Mono-Red Leyline Aggro,1.28
1,user_0001,Bant Airbending Combo,Bant Airbending Combo,1.19
1,user_0001,Selesnya Landfall,Selesnya Landfall,1.64
1,user_0001,Dimir Bounce,Dimir Bounce,1.08
1,user_0001,Abzan Midrange,Abzan Midrange,1.74
1,user_0001,Izzet,Izzet,1.31
1,user_0001,Azorius Control,Azorius Control,0.9
1,user_0001,Jund Aggro,Jund Aggro,0.66
1,user_0001,Jeskai Control,Jeskai Control,2.7
1,user_0001,Orzhov Midrange,Orzhov Midrange,2.02
2,user_0002,Grixis Artifacts,Grixis Artifacts,1.07
